##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"02 - Judiciária";"03 - Essencial à Justiça";"04 - Administração";"05 - Defesa Nacional";"06 - Segurança Pública";"07 - Relações Exteriores";"08 - Assistência Social";"09 - Previdência Social";"10 - Saúde";"11 - Trabalho";"12 - Educação";"13 - Cultura";"14 - Direitos da Cidadania";"15 - Urbanismo";"16 - Habitação";"17 - Saneamento";"18 - Gestão Ambiental";"19 - Ciência e Tecnologia";"20 - Agricultura";"21 - Organização Agrária";"22 - Indústria";"23 - Comércio e Serviços";"24 - Comunicações";"25 - Energia";"26 - Transporte";"27 - Desporto e Lazer";"28 - Encargos Especiais";"Despesas (Exceto Intraorçamentárias)";"Despesas (Intraorçamentárias)";lof_relativo_med
Prefeitura Municipal de Porto Rico - PR; 4120200; PR; 2606; 6.05% / 0 / 516492.57; 0.99% / 85533.38 / 1372.02; 0.00% / 0 / 182.25; 4.75% / 2281320.99 / 1875741.31; 0.00% / 0 / 373.80; 0.04% / 5387.69 / 8877.21; 0.00% / 0 / 0.00; 1.07% / 687044.70 / 595791.24; 0.83% / 0 / 70478.91; 13.29% / 3506189.49 / 2371474.62; 0.00% / 0 / 0.00; 3.71% / 2201127.07 / 2517502.11; 0.37% / 36837.77 / 68784.29; 0.00% / 0 / 400.41; 9.79% / 1409219.83 / 573714.11; 0.07% / 26000.27 / 19766.93; 2.28% / 252468.10 / 57998.98; 1.47% / 163170.57 / 37678.53; 1.18% / 100983.42 / 0.00; 2.55% / 364472.05 / 582616.75; 0.00% / 0 / 0.00; 0.00% / 0 / 395.00; 4.33% / 385673.30 / 15879.44; 0.00% / 0 / 308.89; 0.10% / 0 / 8321.73; 5.13% / 1087233.29 / 648973.24; 0.40% / 114292.99 / 80335.63; 1.12% / 235311.54 / 139963.48; 32.20% / 12942266.45 / 10193423.49; 8.27% / 714403.76 / 7944.49; 2.93
Prefeitura Municipal de São João das Duas Pontes - SP; 3549201; SP; 2618; 1.11% / 571000.00 / 523541.47; 0.03% / 0 / 1372.02; 0.00% / 0 / 0.00; 3.69% / 1750858.24 / 1907945.24; 0.01% / 0 / 373.80; 0.19% / 0 / 8253.64; 0.00% / 0 / 0.00; 1.89% / 505994.27 / 586633.45; 23.38% / 1041861.11 / 45825.44; 12.18% / 1878803.77 / 2397681.35; 1.67% / 71013.16 / 0.00; 4.75% / 2769462.33 / 2567027.86; 1.62% / 3237.90 / 72418.67; 2.50% / 106917.95 / 400.41; 0.33% / 575527.36 / 589756.38; 0.35% / 0 / 14786.91; 1.32% / 0 / 56181.13; 0.78% / 113.39 / 33323.53; 0.00% / 0 / 0.00; 10.45% / 138496.38 / 583505.00; 0.00% / 0 / 0.00; 0.01% / 0 / 395.00; 0.37% / 0 / 15879.44; 0.01% / 0 / 308.89; 0.20% / 0 / 8321.73; 3.85% / 774431.62 / 610291.41; 4.54% / 276588.66 / 83373.10; 8.10% / 473570.62 / 128575.29; 16.47% / 10937876.76 / 10236171.19; 0.19% / 0 / 7944.49; 1.72
Prefeitura Municipal de Sul Brasil - SC; 4217758; SC; 2661; 2.69% / 294532.92 / 512109.47; 0.02% / 0 / 1434.90; 0.00% / 0 / 0.00; 7.33% / 1309861.29 / 1904135.57; 0.00% / 0 / 373.80; 0.02% / 9397.75 / 8040.27; 0.00% / 0 / 0.00; 2.50% / 381626.36 / 583932.34; 1.06% / 0 / 86043.06; 5.59% / 2902418.96 / 2449220.92; 0.00% / 0 / 159.50; 2.47% / 2420839.99 / 2621056.81; 0.96% / 131423.86 / 53351.45; 0.00% / 0 / 400.41; 3.86% / 258463.68 / 571187.62; 0.17% / 0 / 13404.20; 3.99% / 385029.30 / 61388.42; 0.28% / 0 / 22655.37; 0.00% / 0 / 0.00; 21.31% / 2287026.67 / 560568.58; 0.00% / 0 / 0.00; 0.96% / 78076.84 / 0.00; 0.19% / 0 / 15676.17; 5.36% / 434993.71 / 676.96; 0.40% / 39239.91 / 6609.68; 10.24% / 1460578.84 / 631109.55; 1.11% / 171107.29 / 81093.95; 0.10% / 96508.90 / 104329.28; 29.28% / 12661126.27 / 10288958.27; 0.10% / 0 / 7944.49; 4.70
Prefeitura Municipal de Capão Alto - SC; 4203253; SC; 2682; 2.11% / 792002.04 / 518574.90; 0.17% / 23379.84 / 1434.90; 0.00% / 0 / 0.00; 10.35% / 3258418.09 / 1913697.92; 0.00% / 0 / 373.80; 0.06% / 0 / 7740.27; 0.00% / 0 / 0.00; 1.26% / 748538.49 / 584642.76; 0.80% / 0 / 103898.59; 2.75% / 2843377.12 / 2485997.50; 0.00% / 0 / 159.50; 10.05% / 3946187.62 / 2641163.07; 0.42% / 0 / 54450.97; 0.00% / 0 / 400.41; 12.77% / 2297938.76 / 639407.24; 0.08% / 0 / 10034.49; 0.47% / 0 / 61388.42; 0.15% / 0 / 19177.61; 0.00% / 0 / 0.00; 8.30% / 1609532.25 / 531975.15; 0.00% / 0 / 0.00; 0.00% / 0 / 0.00; 1.42% / 200427.53 / 15676.17; 0.01% / 0 / 675.56; 0.03% / 0 / 4273.25; 4.41% / 0 / 573217.12; 0.79% / 178869.16 / 76783.70; 0.79% / 0 / 103170.12; 42.74% / 15898670.90 / 10348313.42; 0.06% / 0 / 7944.49; 1.57
Prefeitura Municipal de Fagundes Varela - RS; 4307864; RS; 2699; 2.53% / 354723.43 / 523343.62; 0.02% / 0 / 1434.90; 0.00% / 0 / 0.00; 11.02% / 2590579.25 / 1855990.55; 0.01% / 0 / 373.80; 0.07% / 13789.19 / 9035.29; 0.00% / 0 / 0.00; 6.71% / 139573.19 / 586822.22; 10.80% / 830154.38 / 109970.10; 8.01% / 1967535.55 / 2501332.63; 0.00% / 0 / 159.50; 5.72% / 2299768.93 / 2681202.91; 2.83% / 240765.42 / 52321.16; 0.01% / 0 / 400.41; 0.13% / 694873.72 / 686295.79; 0.15% / 0 / 10034.49; 1.16% / 138704.70 / 61388.42; 0.89% / 82596.79 / 23418.19; 0.00% / 0 / 0.00; 11.37% / 1285800.52 / 527707.67; 0.00% / 0 / 0.00; 0.90% / 60015.67 / 0.00; 0.75% / 70927.54 / 20941.50; 0.01% / 0 / 675.56; 1.87% / 129225.84 / 4273.25; 0.25% / 572267.06 / 588842.47; 3.38% / 318164.54 / 92772.98; 0.17% / 111784.11 / 100126.77; 21.94% / 11901249.83 / 10438864.18; 9.30% / 627861.13 / 7944.49; 1.51
Prefeitura Municipal de Panamá - GO; 5216007; GO; 2728; 2.38% / 677661.05 / 518961.34; 0.04% / 3832.09 / 1434.90; 0.00% / 0 / 0.00; 26.85% / 3613109.17 / 1825052.51; 0.00% / 0 / 0.00; 0.64% / 50939.20 / 8564.61; 0.00% / 0 / 0.00; 1.69% / 461075.99 / 573471.22; 8.27% / 664424.57 / 113532.23; 25.62% / 836735.15 / 2542765.39; 0.00% / 0 / 159.50; 0.69% / 2738585.20 / 2692514.08; 5.89% / 451952.32 / 59427.01; 0.00% / 0 / 0.00; 2.08% / 580031.93 / 718362.99; 2.86% / 196335.59 / 6077.17; 1.82% / 176656.53 / 55768.49; 0.39% / 50452.78 / 24608.02; 0.00% / 0 / 0.00; 7.63% / 0 / 508005.40; 0.00% / 0 / 0.00; 0.00% / 0 / 0.00; 0.32% / 0 / 20988.50; 0.02% / 0 / 1126.16; 0.03% / 0 / 1998.78; 3.09% / 392661.48 / 598188.80; 0.12% / 105379.43 / 97646.14; 0.95% / 49205.88 / 112330.40; 8.53% / 11049038.36 / 10480983.63; 0.12% / 0 / 7944.49; 1.71
Prefeitura Municipal de Umburatiba - MG; 3170305; MG; 2736; 0.23% / 509233.95 / 518961.34; 3.19% / 136776.58 / 1434.90; 0.00% / 0 / 0.00; 2.92% / 1949025.58 / 1825052.51; 0.44% / 18666.35 / 0.00; 0.73% / 39451.15 / 8564.61; 0.00% / 0 / 0.00; 3.96% / 405507.28 / 573471.22; 6.88% / 405413.29 / 113532.23; 5.41% / 2312917.30 / 2542765.39; 4.66% / 197999.67 / 159.50; 12.27% / 2171469.28 / 2692514.08; 0.26% / 70429.80 / 59427.01; 0.00% / 0 / 0.00; 9.38% / 320080.68 / 718362.99; 0.07% / 2960.00 / 6077.17; 1.26% / 2142.00 / 55768.49; 0.04% / 26231.68 / 24608.02; 0.00% / 0 / 0.00; 10.49% / 62607.14 / 508005.40; 0.00% / 0 / 0.00; 0.00% / 0 / 0.00; 3.52% / 170257.65 / 20988.50; 0.00% / 990.08 / 1126.16; 0.66% / 30024.82 / 1998.78; 5.88% / 348635.65 / 598188.80; 0.94% / 57810.28 / 97646.14; 0.08% / 115715.58 / 112330.40; 26.54% / 9354345.79 / 10480983.63; 0.19% / 0 / 7944.49; 1.80
Prefeitura Municipal de Brejo Alegre - SP; 3507753; SP; 2746; 2.83% / 847540.17 / 518961.34; 0.01% / 0 / 1434.90; 0.00% / 0 / 0.00; 0.88% / 1723425.08 / 1825052.51; 0.00% / 0 / 0.00; 0.07% / 0 / 8564.61; 0.00% / 0 / 0.00; 4.16% / 1055876.39 / 573471.22; 0.98% / 0 / 113532.23; 15.55% / 4345837.91 / 2542765.39; 0.00% / 0 / 159.50; 3.74% / 3125878.24 / 2692514.08; 3.89% / 510029.80 / 59427.01; 0.00% / 0 / 0.00; 7.21% / 1554507.90 / 718362.99; 0.05% / 0 / 6077.17; 0.48% / 0 / 55768.49; 0.21% / 0 / 24608.02; 0.00% / 0 / 0.00; 0.87% / 608571.61 / 508005.40; 0.00% / 0 / 0.00; 0.00% / 0 / 0.00; 0.18% / 0 / 20988.50; 0.01% / 0 / 1126.16; 0.02% / 0 / 1998.78; 2.56% / 301681.68 / 598188.80; 1.94% / 322453.38 / 97646.14; 9.77% / 1244744.19 / 112330.40; 44.51% / 15640546.35 / 10480983.63; 0.07% / 0 / 7944.49; 1.59
Prefeitura Municipal de São José das Missões - RS; 4318457; RS; 2748; 7.68% / 0 / 518961.34; 0.02% / 0 / 1434.90; 0.00% / 0 / 0.00; 30.89% / 3913351.75 / 1825052.51; 0.00% / 0 / 0.00; 0.13% / 0 / 8564.61; 0.00% / 0 / 0.00; 2.46% / 406882.55 / 573471.22; 1.68% / 0 / 113532.23; 3.87% / 2280883.53 / 2542765.39; 0.00% / 0 / 159.50; 4.85% / 2364906.79 / 2692514.08; 3.06% / 266098.66 / 59427.01; 0.00% / 0 / 0.00; 10.63% / 0 / 718362.99; 0.09% / 0 / 6077.17; 0.83% / 0 / 55768.49; 7.06% / 501556.55 / 24608.02; 0.00% / 0 / 0.00; 5.79% / 116465.74 / 508005.40; 0.00% / 0 / 0.00; 0.06% / 3746.95 / 0.00; 0.31% / 0 / 20988.50; 0.02% / 0 / 1126.16; 0.03% / 0 / 1998.78; 8.85% / 0 / 598188.80; 1.43% / 1000.00 / 97646.14; 1.28% / 26000.00 / 112330.40; 8.88% / 9880892.52 / 10480983.63; 0.12% / 0 / 7944.49; 1.72
Prefeitura Municipal de Capitão - RS; 4304697; RS; 2749; 2.52% / 355087.12 / 518961.34; 0.02% / 0 / 1434.90; 0.00% / 0 / 0.00; 5.18% / 1488313.56 / 1825052.51; 0.00% / 0 / 0.00; 0.13% / 0 / 8564.61; 0.00% / 0 / 0.00; 1.32% / 659231.60 / 573471.22; 2.51% / 277015.91 / 113532.23; 0.71% / 2588899.68 / 2542765.39; 0.00% / 0 / 159.50; 11.41% / 3435050.45 / 2692514.08; 2.60% / 228818.13 / 59427.01; 0.00% / 0 / 0.00; 2.23% / 863593.03 / 718362.99; 0.09% / 0 / 6077.17; 0.86% / 0 / 55768.49; 0.13% / 33053.00 / 24608.02; 0.00% / 0 / 0.00; 14.04% / 1421574.66 / 508005.40; 0.00% / 0 / 0.00; 0.27% / 17463.50 / 0.00; 0.32% / 0 / 20988.50; 0.79% / 52638.28 / 1126.16; 3.51% / 230594.56 / 1998.78; 7.99% / 1117673.42 / 598188.80; 0.44% / 68947.00 / 97646.14; 2.41% / 269255.04 / 112330.40; 40.37% / 13107208.94 / 10480983.63; 0.12% / 0 / 7944.49; 1.53
Prefeitura Municipal de Alagoa - MG; 3101300; MG; 2764; 3.18% / 341280.51 / 518773.22; 9.21% / 516017.82 / 1434.90; 0.00% / 0 / 0.00; 10.44% / 1210042.06 / 1793003.71; 0.00% / 0 / 0.00; 0.18% / 18628.38 / 8564.61; 0.00% / 0 / 0.00; 3.97% / 355664.05 / 577372.87; 21.24% / 1299878.76 / 113532.23; 8.35% / 3010296.15 / 2544074.10; 0.00% / 0 / 159.50; 4.06% / 2486062.35 / 2712653.83; 2.59% / 204227.28 / 59427.01; 0.00% / 0 / 0.00; 9.92% / 214373.75 / 768641.47; 0.11% / 0 / 6077.17; 0.54% / 25078.90 / 55198.30; 0.37% / 0 / 20860.12; 0.00% / 0 / 0.00; 5.73% / 174889.97 / 495191.78; 0.00% / 0 / 0.00; 0.00% / 0 / 0.00; 0.32% / 38744.75 / 20988.50; 0.02% / 0 / 1126.16; 0.01% / 0 / 494.95; 3.55% / 796688.83 / 598188.80; 0.66% / 127267.88 / 90433.61; 3.83% / 326473.72 / 112330.40; 11.58% / 11145615.16 / 10498527.23; 0.14% / 0 / 7944.49; 2.47
Prefeitura Municipal de Salvador das Missões - RS; 4316477; RS; 2766; 0.33% / 496386.00 / 518133.73; 0.02% / 0 / 1434.90; 0.00% / 0 / 0.00; 11.74% / 2605656.32 / 1832526.14; 0.00% / 0 / 0.00; 0.04% / 6100.10 / 8564.61; 0.00% / 0 / 0.00; 5.60% / 215162.82 / 583935.24; 12.22% / 911080.75 / 106303.50; 4.22% / 2835606.30 / 2557484.19; 0.00% / 0 / 159.50; 7.89% / 2226759.31 / 2746655.66; 0.54% / 24507.06 / 60151.50; 0.00% / 0 / 0.00; 3.27% / 509876.77 / 725052.90; 0.09% / 0 / 6077.17; 4.65% / 356440.23 / 50048.30; 0.36% / 0 / 23798.79; 0.00% / 0 / 0.00; 8.05% / 999706.97 / 469721.62; 0.00% / 0 / 0.00; 0.00% / 0 / 0.00; 0.42% / 40.00 / 27805.06; 0.02% / 0 / 1126.16; 0.88% / 58496.22 / 494.95; 2.31% / 446742.68 / 599153.55; 0.35% / 68861.73 / 91774.63; 0.25% / 92167.06 / 108652.28; 20.26% / 11853590.32 / 10519054.39; 16.49% / 1086235.39 / 0.00; 1.50
Prefeitura Municipal de Planalto Alegre - SC; 4213153; SC; 2782; 0.05% / 522085.43 / 518133.73; 0.02% / 0 / 1434.90; 0.00% / 0 / 0.00; 2.92% / 1589565.57 / 1832526.14; 0.00% / 0 / 0.00; 0.09% / 1269.89 / 8564.61; 0.00% / 0 / 0.00; 1.35% / 471308.98 / 583935.24; 1.28% / 0 / 106303.50; 2.78% / 2789370.00 / 2557484.19; 0.00% / 0 / 159.50; 5.68% / 2273471.61 / 2746655.66; 0.06% / 65225.98 / 60151.50; 0.00% / 0 / 0.00; 2.32% / 532065.57 / 725052.90; 1.04% / 92302.06 / 6077.17; 0.55% / 4122.95 / 50048.30; 0.29% / 0 / 23798.79; 0.00% / 0 / 0.00; 7.99% / 1135280.88 / 469721.62; 0.00% / 0 / 0.00; 0.00% / 0 / 0.00; 7.00% / 610995.89 / 27805.06; 0.01% / 0 / 1126.16; 0.01% / 0 / 494.95; 26.23% / 2784095.20 / 599153.55; 3.87% / 414489.55 / 91774.63; 0.97% / 189696.44 / 108652.28; 35.49% / 13475346.00 / 10519054.39; 0.00% / 0 / 0.00; 1.59
Prefeitura Municipal de Pinto Bandeira - RS; 4314548; RS; 2800; 5.92% / 0 / 514333.60; 0.02% / 0 / 1434.90; 0.00% / 0 / 0.00; 12.25% / 2818263.85 / 1753888.58; 0.00% / 0 / 0.00; 0.13% / 21000.00 / 9799.05; 0.00% / 0 / 0.00; 6.61% / 313.00 / 574696.84; 1.31% / 0 / 113871.75; 10.49% / 1660784.27 / 2572529.54; 0.00% / 0 / 159.50; 13.72% / 1553914.84 / 2745856.34; 0.11% / 51370.66 / 61018.32; 0.00% / 0 / 0.00; 7.45% / 136145.87 / 783728.51; 0.12% / 0 / 10071.85; 3.79% / 382928.77 / 54018.49; 0.01% / 24357.82 / 23210.10; 0.00% / 0 / 0.00; 0.27% / 438747.87 / 462039.15; 0.00% / 0 / 0.00; 0.02% / 0 / 1481.98; 0.29% / 454.05 / 25317.64; 0.01% / 0 / 1126.16; 0.01% / 0 / 494.95; 1.72% / 453539.07 / 602958.92; 0.51% / 49283.34 / 93452.31; 1.42% / 0 / 123728.69; 33.82% / 7591103.41 / 10529217.17; 0.00% / 0 / 0.00; 1.69
Prefeitura Municipal de Taquaral - SP; 3553658; SP; 2817; 0.30% / 484725.86 / 514333.60; 0.01% / 0 / 1434.90; 0.00% / 0 / 0.00; 4.42% / 1315718.99 / 1753888.58; 0.00% / 0 / 0.00; 0.10% / 0 / 9799.05; 0.00% / 0 / 0.00; 0.72% / 645652.42 / 574696.84; 1.15% / 0 / 113871.75; 13.62% / 3923763.49 / 2572529.54; 0.00% / 0 / 159.50; 4.63% / 3204764.39 / 2745856.34; 0.62% / 0 / 61018.32; 0.00% / 0 / 0.00; 6.80% / 1458752.80 / 783728.51; 17.16% / 1712980.28 / 10071.85; 2.07% / 259518.41 / 54018.49; 0.23% / 0 / 23210.10; 0.00% / 0 / 0.00; 4.66% / 0 / 462039.15; 0.00% / 0 / 0.00; 0.01% / 0 / 1481.98; 0.26% / 0 / 25317.64; 0.01% / 0 / 1126.16; 0.00% / 0 / 494.95; 5.97% / 10985.60 / 602958.92; 4.98% / 587543.89 / 93452.31; 0.02% / 125900.99 / 123728.69; 32.26% / 13730307.12 / 10529217.17; 0.00% / 0 / 0.00; 2.49
Prefeitura Municipal de Nova Candelária - RS; 4313011; RS; 2817; 2.46% / 197726.94 / 514333.60; 0.01% / 0 / 1434.90; 0.00% / 0 / 0.00; 4.20% / 1213085.21 / 1753888.58; 0.00% / 0 / 0.00; 0.07% / 1369.62 / 9799.05; 0.00% / 0 / 0.00; 1.82% / 339602.30 / 574696.84; 6.55% / 957645.29 / 113871.75; 6.22% / 3374084.48 / 2572529.54; 0.00% / 0 / 159.50; 1.26% / 2583407.86 / 2745856.34; 0.05% / 54493.65 / 61018.32; 0.00% / 0 / 0.00; 3.94% / 276418.99 / 783728.51; 0.08% / 0 / 10071.85; 0.84% / 162238.70 / 54018.49; 0.17% / 1705.00 / 23210.10; 0.00% / 0 / 0.00; 7.63% / 1445351.26 / 462039.15; 0.00% / 0 / 0.00; 10.86% / 1400961.47 / 1481.98; 0.20% / 0 / 25317.64; 0.01% / 0 / 1126.16; 0.00% / 0 / 494.95; 16.30% / 2703757.52 / 602958.92; 1.01% / 223285.23 / 93452.31; 0.60% / 200932.18 / 123728.69; 35.74% / 15136065.70 / 10529217.17; 0.00% / 0 / 0.00; 4.10
Prefeitura Municipal de Florínia - SP; 3516101; SP; 2821; 2.03% / 789019.76 / 514333.60; 0.01% / 0 / 1434.90; 0.00% / 0 / 0.00; 0.32% / 1797500.89 / 1753888.58; 0.00% / 0 / 0.00; 1.04% / 150035.10 / 9799.05; 0.00% / 0 / 0.00; 3.27% / 1018157.85 / 574696.84; 0.84% / 0 / 113871.75; 10.58% / 4006508.14 / 2572529.54; 0.00% / 0 / 159.50; 4.89% / 3407753.11 / 2745856.34; 2.25% / 366508.32 / 61018.32; 0.00% / 0 / 0.00; 18.42% / 3279511.57 / 783728.51; 0.07% / 0 / 10071.85; 0.40% / 0 / 54018.49; 0.17% / 0 / 23210.10; 0.00% / 0 / 0.00; 1.07% / 316954.26 / 462039.15; 0.00% / 0 / 0.00; 0.01% / 0 / 1481.98; 2.17% / 319771.54 / 25317.64; 0.01% / 0 / 1126.16; 0.00% / 0 / 494.95; 2.66% / 243237.24 / 602958.92; 0.69% / 0 / 93452.31; 5.02% / 804462.89 / 123728.69; 44.06% / 16499420.67 / 10529217.17; 0.00% / 0 / 0.00; 1.71
Prefeitura Municipal de Sem-Peixe - MG; 3165560; MG; 2834; 3.00% / 699632.75 / 514333.60; 3.12% / 194334.23 / 1434.90; 0.00% / 0 / 0.00; 0.70% / 1710729.07 / 1753888.58; 0.00% / 0 / 0.00; 0.11% / 16393.77 / 9799.05; 0.00% / 0 / 0.00; 0.69% / 532070.48 / 574696.84; 1.84% / 0 / 113871.75; 0.47% / 2543360.53 / 2572529.54; 0.00% / 0 / 159.50; 10.29% / 2109952.69 / 2745856.34; 10.89% / 733731.18 / 61018.32; 0.00% / 0 / 0.00; 19.25% / 1972813.45 / 783728.51; 0.16% / 0 / 10071.85; 4.77% / 348862.23 / 54018.49; 0.36% / 800.00 / 23210.10; 0.00% / 0 / 0.00; 0.73% / 507384.89 / 462039.15; 0.00% / 0 / 0.00; 0.02% / 0 / 1481.98; 0.35% / 3500.00 / 25317.64; 0.02% / 0 / 1126.16; 6.95% / 429952.75 / 494.95; 3.11% / 410627.17 / 602958.92; 0.36% / 70963.12 / 93452.31; 1.18% / 196486.67 / 123728.69; 31.60% / 12481594.98 / 10529217.17; 0.00% / 0 / 0.00; 2.49
Prefeitura Municipal de Bandeirante - SC; 4202081; SC; 2836; 1.22% / 459998.17 / 514333.60; 0.03% / 0 / 1434.90; 0.00% / 0 / 0.00; 12.47% / 1199400.44 / 1753888.58; 0.00% / 0 / 0.00; 0.00% / 9790.52 / 9799.05; 0.00% / 0 / 0.00; 1.05% / 528224.75 / 574696.84; 2.56% / 0 / 113871.75; 1.88% / 2489093.15 / 2572529.54; 2.13% / 94941.62 / 159.50; 6.35% / 3028064.47 / 2745856.34; 2.25% / 161233.86 / 61018.32; 0.00% / 0 / 0.00; 17.63% / 0 / 783728.51; 0.12% / 15527.08 / 10071.85; 0.38% / 70689.91 / 54018.49; 0.52% / 0 / 23210.10; 0.00% / 0 / 0.00; 10.05% / 908874.64 / 462039.15; 0.00% / 0 / 0.00; 5.67% / 253458.60 / 1481.98; 0.00% / 25282.19 / 25317.64; 1.21% / 54991.65 / 1126.16; 0.01% / 0 / 494.95; 13.63% / 1208820.79 / 602958.92; 0.34% / 108685.77 / 93452.31; 7.86% / 473214.78 / 123728.69; 12.62% / 11090292.39 / 10529217.17; 0.00% / 0 / 0.00; 1.59
Prefeitura Municipal de Rancho Alegre D'Oeste - PR; 4121356; PR; 2850; 8.99% / 0 / 514333.60; 0.03% / 0 / 1434.90; 0.00% / 0 / 0.00; 31.07% / 3532057.02 / 1753888.58; 0.00% / 0 / 0.00; 0.17% / 0 / 9799.05; 0.00% / 0 / 0.00; 0.60% / 540163.23 / 574696.84; 1.99% / 0 / 113871.75; 10.49% / 3172842.10 / 2572529.54; 0.00% / 0 / 159.50; 13.20% / 1990117.39 / 2745856.34; 0.99% / 117433.23 / 61018.32; 0.00% / 0 / 0.00; 8.88% / 275535.57 / 783728.51; 0.18% / 0 / 10071.85; 0.83% / 6275.25 / 54018.49; 0.41% / 0 / 23210.10; 0.00% / 0 / 0.00; 1.04% / 402305.62 / 462039.15; 0.00% / 0 / 0.00; 0.03% / 0 / 1481.98; 0.44% / 0 / 25317.64; 0.02% / 0 / 1126.16; 0.01% / 0 / 494.95; 2.36% / 468164.82 / 602958.92; 0.33% / 74289.33 / 93452.31; 2.16% / 0 / 123728.69; 0.87% / 10579183.56 / 10529217.17; 14.92% / 853774.45 / 0.00; 1.55
Prefeitura Municipal de Vista Gaúcha - RS; 4323705; RS; 2867; 3.28% / 287538.20 / 514333.60; 0.53% / 38004.00 / 1434.90; 0.00% / 0 / 0.00; 5.53% / 2136775.73 / 1753888.58; 0.00% / 0 / 0.00; 0.14% / 0 / 9799.05; 0.00% / 0 / 0.00; 2.12% / 721501.23 / 574696.84; 1.32% / 204883.67 / 113871.75; 2.90% / 2773250.63 / 2572529.54; 0.56% / 39150.00 / 159.50; 4.84% / 2410857.48 / 2745856.34; 0.82% / 4219.29 / 61018.32; 0.00% / 80.00 / 0.00; 8.30% / 209760.93 / 783728.51; 0.15% / 0 / 10071.85; 0.30% / 74478.25 / 54018.49; 0.05% / 26495.73 / 23210.10; 0.00% / 0 / 0.00; 22.29% / 2003985.14 / 462039.15; 0.00% / 0 / 0.00; 6.00% / 416542.60 / 1481.98; 0.02% / 23899.00 / 25317.64; 0.02% / 0 / 1126.16; 0.01% / 0 / 494.95; 1.36% / 697013.43 / 602958.92; 2.13% / 240824.66 / 93452.31; 4.91% / 463546.66 / 123728.69; 32.43% / 12772806.63 / 10529217.17; 0.00% / 0 / 0.00; 1.64
Prefeitura Municipal de Piau - MG; 3150109; MG; 2877; 0.01% / 511488.15 / 512486.09; 0.02% / 0 / 1434.90; 0.00% / 0 / 0.00; 10.41% / 1062660.66 / 1780272.69; 0.00% / 0 / 0.00; 0.14% / 0 / 9799.05; 0.00% / 0 / 0.00; 4.62% / 257835.34 / 576474.60; 9.24% / 778056.70 / 140879.29; 10.35% / 1803814.28 / 2517062.28; 0.00% / 0 / 159.50; 17.27% / 1525992.68 / 2716456.01; 9.73% / 732603.39 / 61972.19; 0.00% / 0 / 0.00; 3.88% / 1081482.20 / 814301.92; 0.37% / 35782.35 / 10071.85; 3.63% / 304310.94 / 54018.49; 0.21% / 34697.70 / 19933.37; 0.00% / 0 / 0.00; 2.20% / 269366.41 / 421067.59; 0.00% / 0 / 0.00; 1.93% / 134196.80 / 1481.98; 0.26% / 0 / 18146.64; 0.02% / 0 / 1126.16; 0.01% / 0 / 494.95; 2.99% / 346584.64 / 552956.82; 1.02% / 27416.57 / 97680.59; 0.67% / 74385.62 / 120417.06; 21.01% / 8980674.43 / 10428694.00; 0.00% / 0 / 0.00; 1.79
Prefeitura Municipal de Saldanha Marinho - RS; 4316436; RS; 2890; 2.47% / 663223.73 / 512486.09; 1.96% / 120918.51 / 1434.90; 0.00% / 0 / 0.00; 2.27% / 1641382.83 / 1780272.69; 0.00% / 0 / 0.00; 0.16% / 0 / 9799.05; 0.00% / 0 / 0.00; 1.06% / 641445.66 / 576474.60; 10.05% / 754528.17 / 140879.29; 9.78% / 3114159.13 / 2517062.28; 0.00% / 0 / 159.50; 4.57% / 2995464.12 / 2716456.01; 0.45% / 89607.08 / 61972.19; 0.00% / 0 / 0.00; 8.23% / 312006.17 / 814301.92; 0.08% / 5103.57 / 10071.85; 4.15% / 307390.47 / 54018.49; 1.95% / 139022.80 / 19933.37; 0.00% / 0 / 0.00; 1.46% / 332007.95 / 421067.59; 0.00% / 0 / 0.00; 0.02% / 0 / 1481.98; 0.30% / 0 / 18146.64; 0.91% / 56765.63 / 1126.16; 1.62% / 99510.60 / 494.95; 4.22% / 810403.78 / 552956.82; 0.48% / 68430.51 / 97680.59; 3.24% / 318156.95 / 120417.06; 33.43% / 12469527.66 / 10428694.00; 7.14% / 435791.74 / 0.00; 1.55
